"CODI","NOM","ADREÇA","X_ETRS89","Y_ETRS89","LATITUD","LONGITUD"
"01-020","01-020. Homenatge a Mari Santpere","Rambla, 8 - Portal de Santa Madrona","431130.869182474","4580949.435550990","41.377119146","2.176410657"
"01-021","01-021. Homenatge a Carmen Amaya","Plaça de Brugada - Sant Carles, 44","432466.893412659","4581234.555867510","41.379800387","2.192354541"
"01-023","01-023. Font de Tusquets - Paral·lel","Avinguda Paral·lel, 28","431081.757000158","4580672.115496910","41.374617199","2.175854925"
"01-024","01-024. Font del Desconsol - Parc de la Ciutadella","Parc de la Ciutadella - Jardins de Forestier","432120.189522558","4582109.159835170","41.387648535","2.188110638"
"02-001","02-001. Gran Via - Passeig de Gràcia","Gran Via - Passeig de Gràcia","430466.638592991","4582323.192685690","41.389435025","2.168310436"
"02-002","02-002. Bessona Llobregat - Plaça Catalunya","Bessona Llobregat - Plaça Catalunya","430559.756923923","4582084.641616310","41.387294516","2.169451459"
"02-003","02-003. Bessona Besòs - Plaça Catalunya","Bessona Besòs - Plaça Catalunya","430592.297171923","4582110.641409530","41.387531496","2.169837642"
"02-004","02-004. Monument a Francesc Macià - Pl Catalunya","Monument a Francesc Macià - Plaça Catalunya","430612.586237393","4581983.551061730","41.386388584","2.170094845"
"02-005","02-005. Plaça Gaudí - Sagrada Família","Plaça Gaudí - Sagrada Família","431078.332140776","4583980.280573300","41.404412534","2.175437564"
"02-006","02-006. Font de Diana","Font de Diana","430704.860744737","4582557.731239000","41.391567997","2.171132696"
"02-007","02-007. Estany del Parc Joan Miró - Dona i Ocell","Estany del Parc de Joan Miró - Dona i Ocell","428659.426186637","4581056.794482980","41.377870779","2.146845718"
"02-008","02-008. Gran Via - Rambla Catalunya","Gran Via - Rambla Catalunya","430357.087622588","4582217.853354810","41.388476790","2.167012339"
"02-009","02-009. Avinguda Gaudí davant l'Hosp de Sant Pau","Avinguda Gaudí davant l'Hospital de Sant Pau","430994.307552667","4584708.582311130","41.410964894","2.174349369"
"02-010","02-010. Llacs de la Biblioteca Joan Miró","Llacs de la Biblioteca Joan Miró","428865.237199002","4581148.363058760","41.378713726","2.149295982"
"02-011","02-011. Font dels Sis Putti - Plaça Catalunya","Font dels Sis Putti - Plaça Catalunya","430671.436840081","4582050.860718760","41.386999895","2.170790952"
"02-013","02-013. Torre de les Aigües","Torre de les Aigües","430604.022081033","4582754.022301700","41.393327233","2.169904154"
"02-014","02-014. Passeig Sant Joan - Provença","Passeig Sant Joan - Provença","430515.367599998","4583497.794103520","41.400018483","2.168758450"
"03-001","03-001. PORTA DE MONTJUIC","Jardins de Walter Benjamin - Porta de Montjuïc","430998.715444245","4580484.165837080","41.372917273","2.174883381"
"03-002","03-002. Font del Mirador","Font del Mirador","430497.489682470","4579827.608624730","41.366960725","2.168965591"
"03-003","03-003. LA BELLESA","La Bellesa","430169.690701086","4580028.631420170","41.368742908","2.165023381"
"03-004","03-004. Estany Inferior - Jard M Cinto Verdaguer","Estany Inferior - Jardins Mossèn Cinto Verdaguer","430172.459470692","4579866.021148580","41.367278566","2.165075210"
"03-005","03-005. Estany Superior - Jard M Cinto Verdaguer","Estany Superior - Jardins Mossèn Cinto Verdaguer","430043.409422575","4579885.742159650","41.367444982","2.163530047"
"03-006","03-006. Circular Gran - Umbracle de Montjuïc","Circular Gran - Umbracle de Montjuïc","429557.819774743","4580030.266072780","41.368704317","2.157707669"
"03-007","03-007. Llac de l'Espanya Industrial","Llac de l'Espanya Industrial","428148.295398918","4581056.818369720","41.377825516","2.140733814"
"03-011","03-011. Piràmide dels Jardins de Can Sabaté","Piràmide dels Jardins de Can Sabaté","427950.782284286","4579368.607263120","41.362602750","2.138572642"
"03-012","03-012. Font de Ceres","Font de Ceres","428471.276776502","4579855.214060680","41.367031863","2.144737667"
"03-014","03-014. Cascada de la Plaça Neptú","Cascada de la Plaça Neptú","429758.029389893","4579939.094410630","41.367900658","2.160111933"
"03-015","03-015. Cascada Exterior dels Jard del Teatre Grec","Cascada Exterior dels Jardins del Teatre Grec","429616.420394519","4580100.055734990","41.369338016","2.158400196"
"03-016","03-016. Circular Brollador - Jard del Teatre Grec","Circular Brollador - Jardins del Teatre Grec","429675.850557566","4580109.515297890","41.369428410","2.159109651"
"03-017","03-017. Circular Plantes - Jardins del Teatre Grec","Circular Plantes - Jardins del Teatre Grec","429646.290457985","4580102.375511550","41.369361521","2.158757056"
"03-018","03-018. Cascada de la Font del Gat - Jard Laribal","Cascada de la Font del Gat - Jardins de Laribal","429587.109505499","4579988.875786350","41.368334090","2.158062663"
"03-019","03-019. Estival - Jardins de Laribal","Estival - Jardins de Laribal","429484.979303021","4579982.856553260","41.368270936","2.156842303"
"03-020","03-020. El Pou de la Glorieta dels Xiprers","El Pou de la Glorieta dels Xiprers - Jardins de Laribal","429534.959032306","4579937.086102810","41.367863073","2.157445175"
"03-021","03-021. Estany del Roserar de la Colla de l'Arrós","Estany del Roserar de la Colla de l'Arrós - Jardins de Laribal","429493.459376160","4579990.776501020","41.368343012","2.156942769"
"03-022","03-022. Circular Petita Carrer - Umbracle","Circular Petita Carrer - Jardins de l'Umbracle de Montjuïc","429564.469583173","4580003.685981250","41.368465500","2.157790261"
"03-023","03-023. Estany Quadrat - Jardins de Laribal","Estany Quadrat - Jardins de Laribal","429571.729303422","4579965.365866980","41.368120998","2.157881509"
"03-024","03-024. Antic Abeurador - Jardins de Laribal","Antic Abeurador - Jardins de Laribal","429564.008838236","4579905.645833531","41.367582443","2.157796141"
"03-025","03-025. Circular Petita Llobregat - Umbracle","Circular Petita Llobregat - Jardins de l'Umbracle de Montjuïc","429542.329969139","4580059.006234820","41.368961815","2.157519134"
"03-026","03-026. Circular Petita Besòs - Umbracle","Circular Petita Besòs - Jardins de l'Umbracle de Montjuïc","429556.500015187","4580062.206132050","41.368991875","2.157688179"
"03-027","03-027. Marinada - Jardins de l'Umbracle","Marinada - Jardins de l'Umbracle de Montjuïc","429548.840021343","4580064.566193910","41.369012461","2.157596322"
"03-028","03-028. Estany dels Quatre Brolladors","Estany dels Quatre Brolladors - Avinguda de l'Estadi","429471.587862640","4579795.806366390","41.366585061","2.156703952"
"03-029","03-029. Estany de la Marató","Estany de la Marató - Agermanament amb Kyonggi-do - Av de l'Estadi","429329.137380229","4579761.057395300","41.366259595","2.155004923"
